TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,macOS Configuration,2,1,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,General Settings,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Check _Use dark menu bar and Dock_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Sidebar icon size: _Small_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Recent items: _5_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Mission Control Settings,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Uncheck _Automatically rearrange Spaces based on most recent use_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,"Uncheck _When switching to an application, switch to a Space with open windows for the application_",4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Hot corners,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Bottom-Left: _Start Screen Saver_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Others: _Disable Screen Saver_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Security & Privacy Settings,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Require password _5 seconds_ after sleep or screen saver begins,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Check _Allow your Apple Watch to unlock your Mac_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Privacy: Accessibility,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,BetterTouchTool,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Google Chrome,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Moom,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Steam,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Notifications Settings,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,iMessages,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Uncheck _Show notifications on lock screen_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Uncheck _Show message preview_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Insync,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Uncheck _Show notifications on lock screen_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Uncheck _Show in Notification Center_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,AirMail: Uncheck _Show in Notification Center_ and _Show notifications on lock screen_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,TogglDesktop: Uncheck _Show in Notification Center_ and _Show notifications on lock screen_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Goofy: Uncheck _Show notifications on lock screen_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Sonos: Uncheck _Show in Notification Center_ and _Show notifications on lock screen_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Notification Center widgets,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Quick Calendar,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Deliveries,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Todoist,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Displays Settings,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Toggle _Scaled: More Space_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Uncheck _Show mirroring options in the menu bar_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Energy Saver: Check _Prevent computer from sleeping automatically when the display is off_,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Keyboard Settings,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Uncheck _Adjust keyboard brightness in low light_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Turn keyboard backlight off after _30 secs_ of inactivity,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Modifier Keys: Caps Lock is _Control_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Text Settings,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Uncheck _Capitalize words automatically_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Uncheck _Add period with double-space_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Shortcuts,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Turn Do Not Disturb On/Off: _Control+Esc_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Check all _Mission Control_ shortcuts,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Show Spotlight search: _Option+Cmd+Space_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Uncheck _Show Finder search window_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Evernote: Create _Move To Notebook…_ menu shortcut for _Command+Shift+M_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Dictation: Check _Use Enhanced Dictation_ (download for offline),4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Trackpad Settings: Set Click level to _Firm_,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Sound Settings: Check _Play feedback when volume is changed_ and _Show volume in menu bar_,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Internet Accounts,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,iCloud,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,iCloud Drive,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Photos: Options: !!Uncheck!! all,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Contacts,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Calendars,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Reminders,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Safari,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Notes,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Keychain,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Find My Mac,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Gmail,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Contacts,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Calendars,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,W&L: Contacts,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Facebook: Calendars !!only!!,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,App Store Settings: Uncheck _Install macOS updates_ and _Install system data files and security updates_,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Sharing Settings,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Set _Computer Name_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
